grupo_1,grupo_2,p_adj,significativo
COLORADO,MISSISSIPPI,8.065138162032566e-74,True
ALABAMA,COLORADO,1.3713247013185744e-73,True
ALABAMA,SOUTH DAKOTA,3.900308690675745e-55,True
MISSISSIPPI,SOUTH DAKOTA,1.4438926668366657e-54,True
ARKANSAS,COLORADO,1.4582194130718224e-52,True
COLORADO,GEORGIA,4.4664244915847565e-51,True
ALABAMA,KANSAS,2.6099611263508187e-50,True
KANSAS,MISSISSIPPI,4.566123444841925e-50,True
COLORADO,TENNESSEE,3.572464087660542e-46,True
ARKANSAS,SOUTH DAKOTA,4.818795623662644e-44,True
IOWA,MISSISSIPPI,2.371113377245997e-42,True
ALABAMA,IOWA,3.0052134211718685e-42,True
GEORGIA,SOUTH DAKOTA,5.98982176138189e-42,True
ALABAMA,NEBRASKA,1.786234836992597e-41,True
MISSISSIPPI,NEBRASKA,3.1765863671911926e-41,True
SOUTH DAKOTA,TENNESSEE,2.9369531750638582e-39,True
COLORADO,LOUISIANA,3.1284223447050606e-39,True
ALABAMA,MINNESOTA,2.6720581071609014e-36,True
MINNESOTA,MISSISSIPPI,6.946026341944712e-36,True
ARKANSAS,KANSAS,4.2649082053892846e-35,True
COLORADO,OKLAHOMA,6.454247857400488e-34,True
LOUISIANA,SOUTH DAKOTA,2.2207336095236185e-33,True
GEORGIA,KANSAS,3.973294136476216e-33,True
COLORADO,KENTUCKY,1.4790891592852624e-32,True
COLORADO,OHIO,4.666121898171532e-30,True
KANSAS,TENNESSEE,8.935114891268648e-30,True
ALABAMA,ILLINOIS,1.5910241022526882e-29,True
KENTUCKY,SOUTH DAKOTA,2.365679034166832e-29,True
ILLINOIS,MISSISSIPPI,2.539925933860498e-29,True
ALABAMA,FLORIDA,2.724962091796751e-29,True
OKLAHOMA,SOUTH DAKOTA,4.843649941786385e-29,True
FLORIDA,MISSISSIPPI,7.623499761565205e-29,True
OHIO,SOUTH DAKOTA,3.077658388857146e-27,True
COLORADO,TEXAS,3.834905354240364e-27,True
ARKANSAS,NEBRASKA,4.671944558119339e-27,True
ARKANSAS,IOWA,3.925280207578859e-25,True
GEORGIA,NEBRASKA,5.205785559217251e-25,True
ARKANSAS,MINNESOTA,5.9981498146515e-24,True
KANSAS,LOUISIANA,1.50524920687908e-23,True
COLORADO,MISSOURI,2.6100361516863966e-23,True
SOUTH DAKOTA,TEXAS,2.7826733082063645e-23,True
GEORGIA,IOWA,3.6663017265614696e-23,True
ALABAMA,NEW MEXICO,6.768075894600858e-23,True
MISSISSIPPI,NEW MEXICO,2.7388334648201162e-22,True
NEBRASKA,TENNESSEE,4.717776914112357e-22,True
GEORGIA,MINNESOTA,7.720469952235029e-22,True
MISSOURI,SOUTH DAKOTA,1.0112650544000403e-21,True
COLORADO,INDIANA,1.1876236786544268e-21,True
INDIANA,SOUTH DAKOTA,5.759371233323622e-21,True
ALABAMA,TEXAS,3.1562271562850044e-20,True
ALABAMA,NORTH CAROLINA,4.4410868652217964e-20,True
IOWA,TENNESSEE,6.933075781345794e-20,True
MISSISSIPPI,TEXAS,9.464876328131825e-20,True
ARKANSAS,NEW MEXICO,1.7528499806227888e-19,True
MISSISSIPPI,NORTH CAROLINA,2.1565693947461713e-19,True
MINNESOTA,TENNESSEE,2.5153087450682044e-19,True
COLORADO,ILLINOIS,2.649683953398368e-19,True
KANSAS,KENTUCKY,3.923015802043401e-19,True
KANSAS,OKLAHOMA,5.630262452801587e-19,True
ALABAMA,ARIZONA,6.697085248341041e-19,True
ARIZONA,MISSISSIPPI,2.0781653048849427e-18,True
ALABAMA,WISCONSIN,3.6113599870558566e-18,True
SOUTH CAROLINA,SOUTH DAKOTA,5.492737632259678e-18,True
ARKANSAS,FLORIDA,5.847729501129895e-18,True
MICHIGAN,SOUTH DAKOTA,6.512066357334788e-18,True
ILLINOIS,SOUTH DAKOTA,8.6674532179312e-18,True
GEORGIA,NEW MEXICO,9.018839858897662e-18,True
COLORADO,SOUTH CAROLINA,1.0472661074132105e-17,True
MISSISSIPPI,WISCONSIN,1.7516207836642084e-17,True
PENNSYLVANIA,SOUTH DAKOTA,2.93079678452782e-17,True
NEW MEXICO,TENNESSEE,5.2039176701715736e-17,True
KANSAS,OHIO,5.4319207917755376e-17,True
ARIZONA,ARKANSAS,8.016924079557217e-17,True
COLORADO,MICHIGAN,2.877717737934639e-16,True
ARKANSAS,ILLINOIS,3.33866964915264e-16,True
LOUISIANA,NEBRASKA,3.8514930399746156e-16,True
COLORADO,PENNSYLVANIA,5.392322370070247e-16,True
FLORIDA,GEORGIA,7.961069196099685e-16,True
ALABAMA,NORTH DAKOTA,1.6453038137440692e-15,True
ARIZONA,GEORGIA,1.9625889866984092e-15,True
ARIZONA,TENNESSEE,5.582472267019102e-15,True
MISSISSIPPI,NORTH DAKOTA,6.586011789820105e-15,True
ALABAMA,CALIFORNIA,2.7419479795419887e-14,True
GEORGIA,ILLINOIS,4.506888743123964e-14,True
ARKANSAS,NORTH CAROLINA,5.0540566532535786e-14,True
CALIFORNIA,MISSISSIPPI,7.8786805426081e-14,True
IOWA,LOUISIANA,7.976737419911813e-14,True
LOUISIANA,MINNESOTA,9.420232215122388e-14,True
FLORIDA,TENNESSEE,1.0560800502962139e-13,True
LOUISIANA,NEW MEXICO,1.4559573357847747e-13,True
KANSAS,TEXAS,4.857826758579121e-13,True
NEW JERSEY,SOUTH DAKOTA,1.1143360414861632e-12,True
FLORIDA,SOUTH DAKOTA,1.4238728098110354e-12,True
KENTUCKY,NEBRASKA,1.6936838530953907e-12,True
ARKANSAS,CALIFORNIA,1.703530812647657e-12,True
ARIZONA,LOUISIANA,2.6228451926669057e-12,True
ARKANSAS,NORTH DAKOTA,2.7096313749677404e-12,True
ARKANSAS,WISCONSIN,2.7389804280092487e-12,True
KENTUCKY,NEW MEXICO,2.8456820973118953e-12,True
GEORGIA,NORTH CAROLINA,4.915928523288664e-12,True
NEBRASKA,OKLAHOMA,6.572821077146748e-12,True
ILLINOIS,TENNESSEE,8.636465614758399e-12,True
COLORADO,FLORIDA,8.743480004147444e-12,True
KANSAS,MISSOURI,1.5989392513336468e-11,True
ARIZONA,KENTUCKY,1.8732944575267177e-11,True
ALABAMA,MISSOURI,1.9963750836014563e-11,True
NEW YORK,SOUTH DAKOTA,2.0233379502243724e-11,True
CALIFORNIA,GEORGIA,3.2348371486511673e-11,True
SOUTH DAKOTA,VIRGINIA,3.4451343920131927e-11,True
NEW MEXICO,OKLAHOMA,3.634237092174159e-11,True
NEW MEXICO,OHIO,4.7238850670568896e-11,True
INDIANA,KANSAS,6.431569508148457e-11,True
NORTH CAROLINA,TENNESSEE,7.6006506137969e-11,True
CALIFORNIA,TENNESSEE,7.647565195426627e-11,True
IOWA,SOUTH DAKOTA,7.989371791918685e-11,True
MISSISSIPPI,MISSOURI,9.730226888830861e-11,True
GEORGIA,NORTH DAKOTA,1.1886125987712356e-10,True
KENTUCKY,MINNESOTA,1.1886125987712356e-10,True
COLORADO,NEW JERSEY,1.353275002473049e-10,True
NEBRASKA,OHIO,1.4900947527336295e-10,True
ARIZONA,OHIO,1.721239801078905e-10,True
ARIZONA,OKLAHOMA,1.8809834862690197e-10,True
ARKANSAS,TEXAS,2.144139475317312e-10,True
GEORGIA,WISCONSIN,2.492071501971101e-10,True
SOUTH DAKOTA,WISCONSIN,2.883844426130451e-10,True
IOWA,KENTUCKY,4.200431440713812e-10,True
NORTH DAKOTA,TENNESSEE,5.41154584827554e-10,True
COLORADO,IOWA,7.514706697292586e-10,True
MINNESOTA,OKLAHOMA,7.744156978226394e-10,True
IOWA,OKLAHOMA,1.6196860110230684e-09,True
ARIZONA,MICHIGAN,2.16253614734391e-09,True
COLORADO,NEW YORK,2.304381567394872e-09,True
ALABAMA,SOUTH CAROLINA,2.3639626593308502e-09,True
KANSAS,MICHIGAN,2.605634900988342e-09,True
TENNESSEE,WISCONSIN,3.2471734995970997e-09,True
COLORADO,VIRGINIA,4.072729125800363e-09,True
MICHIGAN,NEW MEXICO,5.401535513334908e-09,True
MINNESOTA,OHIO,7.740012019484844e-09,True
MISSISSIPPI,SOUTH CAROLINA,1.072526221192884e-08,True
FLORIDA,LOUISIANA,1.4565134063041279e-08,True
SOUTH DAKOTA,WEST VIRGINIA,1.572927174039055e-08,True
COLORADO,WISCONSIN,1.6104314220085948e-08,True
CALIFORNIA,LOUISIANA,1.8819562273855736e-08,True
ARIZONA,NEW JERSEY,2.5638352849486402e-08,True
KANSAS,SOUTH CAROLINA,2.633889187065272e-08,True
ARIZONA,INDIANA,2.7417221650907684e-08,True
GEORGIA,TEXAS,2.7435365316508705e-08,True
KANSAS,PENNSYLVANIA,3.197488256860085e-08,True
INDIANA,NEW MEXICO,3.462404938452105e-08,True
IOWA,OHIO,3.596634984272117e-08,True
ARIZONA,MISSOURI,3.9414601775970464e-08,True
ALABAMA,INDIANA,3.9423899467254364e-08,True
MISSOURI,NEW MEXICO,4.4322897138368857e-08,True
ARIZONA,PENNSYLVANIA,4.5299955826528745e-08,True
NORTH CAROLINA,SOUTH DAKOTA,4.653579159576409e-08,True
NEW MEXICO,TEXAS,5.8330793491710347e-08,True
DELAWARE,SOUTH DAKOTA,6.197946381109846e-08,True
ARIZONA,TEXAS,6.42474281945604e-08,True
CALIFORNIA,KENTUCKY,9.44165404935548e-08,True
ILLINOIS,KANSAS,1.18111045299548e-07,True
NEW MEXICO,PENNSYLVANIA,1.2335577129968698e-07,True
INDIANA,MISSISSIPPI,1.7701803432022347e-07,True
